ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc (Contact solution),Batch information (g/L),SL min (g/L),SL max (ppb),Cin min (ppb),Cin max (L/Kg),Kd (L/Kg OC),Koc ([-]),log Koc ([-]),log Kd (from literature studies),Comments on the derivation of Kd (reported),KFr (reported units),KFr ([-]),1/n ((ug/kg)/(ug/L)^(1/n)),Harmonized KFr (ug/L),Cw (ug/kg),Cs (L/kg),Kd,,,,,,,,,,,,,,,,,,,
Entries discarted because reported OC = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Umeh,2021,Environmental Science & Technology, 10.1021/acs.est.0c07202,soil,Soil28,PFOS,PFSA,C8HF17O3S,500,0.1,-,0,0,0,0.99999619812049112,0,3.8018795088628527E-6,1,0,-0.99999619812049112,499.00000380187947,96485,-193.35597683474842,8,17,0.29721362229102166,64.600000000000009,8,2.0166155475571776,5,5.52,1:5 MQ,5.5844999999999999E-2,1,5.5845000000000001E-3,0.29678000000000004,11,2.9678000000000003E-2,DCB,0.2,not reported,99,0.5,0.5,not reported,100,0,0,10 mM NaNO3 + 200 ppm NaN3,100,-,5,500,21.453750819670397,#DIV/0!,#DIV/0!,1.3315032320862121,Calculated in this study at Cw = 10% S,43.3,(ug/g)/(ug/L)^N,0.7,43.3,10.39,222.90447101637545,21.453750819670397,,,,,,,,,,,,,,,,,,,
940,Umeh,2021,Environmental Science & Technology, 10.1021/acs.est.0c07202,soil,Soil35,PFOS,PFSA,C8HF17O3S,500,0.1,-,0,0,0,0.99999383408800013,0,6.1659119999096004E-6,1,0,-0.99999383408800013,499.000006165912,96485,-193.35551881716952,8,17,0.29721362229102166,64.600000000000009,8,2.0166155475571776,5,5.31,1:5 MQ,5.5844999999999999E-2,1,5.5845000000000001E-3,0.10792,4,1.0792E-2,DCB,0.2,not reported,99,0.8,0.2,not reported,100,0,0,10 mM NaNO3 + 200 ppm NaN3,100,-,5,500,19.228469549718195,#DIV/0!,#DIV/0!,1.2839447188425945,Calculated in this study at Cw = 10% S,24.3,(ug/g)/(ug/L)^N,0.9,24.3,10.39,199.78379862157206,19.228469549718195,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entries discarted based on expert judgement because anormally high or low Kd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Guelfo,2013,Environmental Science and Technology, 10.1021/es3048043,soil,Loam B,PFBA,PFCA,C4HF7O2,214,-0.2,-,0,0,0,0.99999999000000006,0,9.9999999000000002E-9,1,0,-0.99999999000000006,213.00000001000001,96485,-452.98121610619808,4,7,0.36090225563909772,62.149532710280376,3,6.1376705372367555,2.2000000000000002,7.8,not reported,6.14,0.61399999999999999,0.61399999999999999,1.67,0.16699999999999998,0.16699999999999998,CBD,6.4956666666666676,KNN input,33,42,25,not reported,100,4.5,4.4999999999999998E-2,AGW + 1g/L NaN3,375,-,0.5,1000,3.18,70.666666666666671,1.8492146062090891,0.50242711998443268,Reported Kd was interpolated in the examined study at Cw = 5 pM,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Aubbeenaubbee-Capac,PFPeA,PFCA,C5HF9O2,264,-0.2,-,0,0,0,0.99999849893552062,0,1.50106447937241E-6,1,0,-0.99999849893552062,263.0000015010645,96485,-366.86256509167043,5,9,0.35087719298245612,64.772727272727266,4,5.2933625547114458,2.9,5.6236000000000006,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,17.2,not reported,44.8,27,28.2,not reported,100,4,0.04,10 mM CaCl2,50,-,0,100,35,875,2.9420080530223132,1.5440680443502757,Kd value reported for Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Colwood-Brookston,PFPeA,PFCA,C5HF9O2,264,-0.2,-,0,0,0,0.9999982333959051,0,1.7666040948916728E-6,1,0,-0.9999982333959051,263.0000017666041,96485,-366.86246730457481,5,9,0.35087719298245612,64.772727272727266,4,5.2933625547114458,2.9,5.5528600000000008,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,12.2,not reported,41.8,30,28.2,not reported,100,2,0.02,10 mM CaCl2,50,-,0,100,26.9,1345,3.1287222843384268,1.4297522800024081,Kd value reported for Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Wang,2022,Chemosphere, 10.1016/j.chemosphere.2021.133224,soil,Riddles-Hillsdale,PFPeA,PFCA,C5HF9O2,264,-0.2,-,0,0,0,0.99999774680374132,0,2.2531962587246622E-6,1,0,-0.99999774680374132,263.00000225319627,96485,-366.8622881131036,5,9,0.35087719298245612,64.772727272727266,4,5.2933625547114458,2.9,5.4471999999999996,KNN input,not reported,not reported,not reported,not reported,not reported,not reported,not reported,7.3,not reported,48.9,26.9,24.2,not reported,100,2.2000000000000002,2.2000000000000002E-2,10 mM CaCl2,50,-,0,100,28.8,1309.090909090909,3.1169698069370244,1.4593924877592308,Kd value reported for Kd value reported for Ca-saturated soil,,,,,,,,,,,,,,,,,,,,,,,,,,
