Source,URL,year,Longitude,Latitude,pH,CEC,Sand,Silt,Clay,Corg
SoilGrids,https://soilgrids.org,2024,23.535833,-19.845555999999998,7.7,14.8,56,13,31,2.9
SoilGrids,https://soilgrids.org,2024,25.476111,-18.604444000000001,6.2,40.200000000000003,32,11,57,0.5
SoilGrids,https://soilgrids.org,2024,25.628056000000001,-18.619721999999999,5.0999999999999996,1.2,88,3,7.7,0.1
SoilGrids,https://soilgrids.org,2024,26.893611,-23.080556000000001,5.0999999999999996,2.5499999999999998,78,9,13,0.1
SoilGrids,https://soilgrids.org,2024,27.014721999999999,-22.748888999999998,5.8,3.5,69,4,27,0.2
SoilGrids,https://soilgrids.org,2024,27.302222,-20.998888999999998,7.5,12.2,45,5,50,0.3
SoilGrids,https://soilgrids.org,2024,28.041111000000001,-21.905277999999999,9.6999999999999993,7.5,77,13,10,0.2
SoilGrids,https://soilgrids.org,2024,-156.247085599999,20.812084200000001,5.2,0.7,25.8,35.6,38.6,5.26
SoilGrids,https://soilgrids.org,2024,-132.93333440000001,54.9375,4.9000000000000004,5.2,48.1,51.5,0.4,2.13
SoilGrids,https://soilgrids.org,2024,-124.3683319,43.1822205,5.2,0.3,93.9,5.4,0.7,0.3
SoilGrids,https://soilgrids.org,2024,-124.0998001,43.3898048,4.5,34.1,21.1,47.7,31.2,0.31
SoilGrids,https://soilgrids.org,2024,-124.04166410000001,44.474998499999998,4.9000000000000004,5.2,49.6,45.2,5.2,5.91
SoilGrids,https://soilgrids.org,2024,-123.958335899999,44.5583344,4.9000000000000004,11.45,37.6,46,16.399999999999999,4.8100000000000005
SoilGrids,https://soilgrids.org,2024,-123.1500015,47.538887000000003,5.2,3,37,48.6,14.4,2.23
SoilGrids,https://soilgrids.org,2024,-122.9369023,38.144889399999997,5.5,3.45,94,3.9,2.1,1.17
SoilGrids,https://soilgrids.org,2024,-122.625,43.283332799999997,5.5,60.3,64.599999999999994,24.8,10.6,34.450000000000003
SoilGrids,https://soilgrids.org,2024,-121.8722229,48.144443500000001,5,2.15,52.5,34.9,12.6,2.42
SoilGrids,https://soilgrids.org,2024,-121.03555299999999,46.666942599999999,5.6,5.25,43.7,51.3,5,0.96
SoilGrids,https://soilgrids.org,2024,-119.95545199999999,39.411281600000002,5.6,6.55,40.4,44.3,15.3,0.15
SoilGrids,https://soilgrids.org,2024,-117.1344452,32.846668200000003,4.0999999999999996,18.850000000000001,27.4,28.3,44.3,0.21000000000000002
SoilGrids,https://soilgrids.org,2024,-111.184166,44.528610200000003,5.6,5.35,26.3,62.7,11,1.8
SoilGrids,https://soilgrids.org,2024,-110.1361084,44.467220300000001,5,11,43.1,47.2,9.6999999999999993,1.92
SoilGrids,https://soilgrids.org,2024,-94.2914806,37.2064667,5.7,11,17.8,35.9,46.3,0.1
SoilGrids,https://soilgrids.org,2024,-94.177075000000002,37.090688900000004,5.2,7,23.4,50.3,26.3,0.1
SoilGrids,https://soilgrids.org,2024,-94.138137799999996,39.9842491,5.6,30,2.2999999999999998,49.7,48,0.7
SoilGrids,https://soilgrids.org,2024,-94.063874999999996,37.555333300000001,5.0999999999999996,11.95,29.3,32.299999999999997,38.4,0.4
SoilGrids,https://soilgrids.org,2024,-94.048614499999999,37.574165299999997,5.9,11,25.8,41.5,32.700000000000003,0.09
SoilGrids,https://soilgrids.org,2024,-93.982922200000004,39.916247200000001,6.2,18,15.4,66.3,18.399999999999999,1.2
SoilGrids,https://soilgrids.org,2024,-93.845050000000001,37.8048377,4.9000000000000004,13,10.199999999999999,45.5,44.3,0.4
SoilGrids,https://soilgrids.org,2024,-93.817222599999994,37.3122215,5,24.05,7,9.5,83.5,0.2
SoilGrids,https://soilgrids.org,2024,-93.686111499999996,31.692777599999999,4.7,14.15,22.1,20.8,57.1,0.42000000000000004
