PFAS_name,Original_SMILES,RDKIT_SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,carbon_count,fluorine_count,has_sulfonate,has_carboxyl,has_ether,has_aromatic,has_double_bond,perfluoro_ratio
6:2 FtSaB,C[N+](C)(CCCNS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],13.66293982872602,13.66293982872602,0.056098307801135894,-8.056716110959732,0.19742153935982712,15.4,570.3679999999998,551.2159999999999,570.085794948,210,0,0.4596472941871335,-0.5441154963436847,0.5441154963436847,0.4596472941871335,0.8,1.2285714285714286,1.6285714285714286,32.233228856676924,9.92775097643753,2.901017538084495,-2.3928727865600488,2.6016696596152085,-2.697215634738027,7.889786071743573,-0.8843945417211897,2.6099448979220976,5.464762893378685,857.4056776910804,28.527097737495456,17.644633884058507,18.461130464986237,15.080715781809484,9.028692872997327,10.68095809931749,8.00600357716609,9.932422754431897,4.502504749875166,5.888036924531741,2.4570431040778633,3.58181663449744,-1.5700000000000003,3381455.049527461,33.43000000000001,10.060408376931782,7.2339348096991785,189.23659995248465,14.384095436607153,6.544756405912575,0.0,10.023291153407584,0.0,35.78894435791636,0.0,13.139891848781026,57.07539561977267,0.0,0.0,0.0,19.386399651764595,32.36225926596559,79.87728804070878,15.992596441359433,0.0,4.722094864452088,0.0,48.63058760376838,39.48246678983889,0.0,0.0,0.0,9.828622259292793,57.07539561977267,0.0,0.0,94.14154427773066,14.817828337479405,0.0,12.841643245852019,0.0,0.0,0.0,0.0,86.3,77.04472884077376,75.39425718301415,0.0,17.448608886533208,0.0,0.0,18.817438829806466,0.0,0.0,0.0,0.0,193.65456043221067,0.0,10.535371227477714,10.535371227477714,0.0,-41.58018453940473,0.0,-10.582811901214791,-1.2035722130462536,-2.27540090016695,0.9333333333333333,35,1,6,0,0,0,0,0,0,0,0,0,4,1,20,0,14,0,0,0,0,0,9.609127201166558,0,2.251100000000001,88.66290000000001,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0.3714
10:2 FtSaB,C[N+](C)(CCCNS(=O)(=O)CCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],13.975027036026297,13.975027036026297,0.232433718701607,-9.293658065006706,0.12357844096800007,16.06382978723404,770.3960000000004,751.2440000000004,770.073020708,282,0,0.45964729443994295,-0.5441154963436847,0.5441154963436847,0.45964729443994295,0.5957446808510638,0.9148936170212766,1.2340425531914894,32.233230137731944,9.856836238062554,2.9735115218101256,-2.4415348244086688,2.6591339974028045,-2.7643620033660254,7.889795329849526,-0.8843945916940843,2.827739287274112,6.378395437087218,1230.869316506136,38.52709773749545,22.668349668132343,23.484846249060073,20.080715781809484,11.540550765034247,13.192815991354408,10.303575754917288,12.229994932183097,6.079862267322192,7.465394441978768,3.2457218628013766,4.3704953932209625,-2.130000000000001,435941189.92389715,44.87,12.638840482599043,7.710871334396875,248.02065163348095,14.384095436607153,6.544756405912575,0.0,10.023291153407584,0.0,59.479061030294666,0.0,13.139891848781026,92.19871600117123,0.0,0.0,0.0,19.386399651764595,32.36225926596559,115.00060842210735,15.992596441359433,0.0,4.722094864452088,0.0,72.32070427614669,39.48246678983889,0.0,0.0,0.0,9.828622259292793,92.19871600117123,0.0,0.0,117.83166095010894,14.817828337479405,0.0,12.841643245852019,0.0,0.0,0.0,0.0,86.3,105.21787637084665,110.51757756441272,0.0,12.965578028838586,0.0,0.0,18.817438829806466,0.0,0.0,0.0,0.0,305.8521304820857,0.0,10.578272426698502,10.578272426698502,0.0,-82.56757343328283,0.0,-11.74069287509434,-1.7475368439712655,-2.8695388498009957,0.9473684210526315,47,1,6,0,0,0,0,0,0,0,0,0,4,1,28,0,18,0,0,0,0,0,12.06605898838764,0,4.7923000000000044,108.4509000000001,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0.4468
PFOSB,C[N+](C)(CCCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],13.882247659872792,13.882247659872792,0.454505009705902,-8.895831709616726,0.17952534110264082,15.974358974358974,642.328,627.208,642.0481077,234,0,0.4596472944400305,-0.5441154963436847,0.5441154963436847,0.4596472944400305,0.6666666666666666,1.0,1.3333333333333333,32.23361922898847,9.908558294220745,2.957762724602133,-2.420477658492221,2.638308838994649,-2.7488605526397483,7.9016480953981105,-0.8843947412680309,2.678779692264752,6.3798141505447,1008.0391794778951,32.11288417512236,18.742278213722322,19.558774794650052,16.623609000622935,9.346517439059626,10.829680686654028,8.401681917768466,10.209961472905945,4.820185116204807,6.335722916291927,2.5510105901391955,3.6110415390670685,-1.8500000000000005,15404992.315291524,37.14999999999999,10.207026993210986,5.953625009664643,205.89874156418958,14.384095436607153,6.544756405912575,0.0,0.0,10.023291153407584,46.966034677926295,0.0,13.139891848781026,74.63705581047195,0.0,0.0,0.0,12.965578028838586,26.6094056592188,97.43894823140806,15.992596441359433,0.0,4.722094864452088,0.0,53.38685630085231,33.729613183092106,0.0,0.0,0.0,9.828622259292793,74.63705581047195,0.0,0.0,99.5657809909938,14.817828337479405,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,86.3,93.49675281764408,92.95591737371343,0.0,0.0,4.722094864452088,14.09534396535438,0.0,0.0,0.0,0.0,0.0,247.49029695964228,0.0,10.509519528671468,2.8708292230739225,0.0,-53.630769409939774,0.0,-8.690674029441503,-2.798944118752981,-5.166924819920036,0.9333333333333333,39,1,6,0,0,0,0,0,0,0,0,0,4,1,24,0,14,0,0,0,0,0,9.722847507635592,0,3.089100000000001,89.0729,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0.4359
PFOAAmS,C[N+](C)(C)CCCNC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.567045894746787,13.567045894746787,0.06470491141554446,-8.406800863002838,0.259045799118957,15.6875,513.2649999999999,497.13699999999983,513.10176285209,192,0,0.45964729445484515,-0.35043024869087075,0.45964729445484515,0.35043024869087075,0.625,0.96875,1.3125,19.434323521177888,9.905425060298175,2.9355100714515867,-2.4060719467613474,2.61808510042267,-2.7353078576507204,5.844105830350761,-0.8699636753422583,2.5504199482023853,6.072191372996592,678.59991758321,26.405777393935818,16.146249324661866,16.146249324661866,13.627827084841575,8.050279635911119,8.050279635911119,7.567502449091641,7.567502449091641,3.9041612208663063,3.9041612208663063,1.975604328114301,1.975604328114301,-1.620000000000001,873740.7187948106,30.380000000000003,8.304613686890589,4.82841713613794,169.64771899932944,9.799819461700956,0.0,0.0,0.0,5.907179729351506,41.711473526010934,4.794537184071822,0.0,65.8562257151223,0.0,0.0,0.0,12.965578028838586,27.687772353944144,75.13379375688876,5.907179729351506,0.0,5.316788604006331,0.0,48.13229514893695,34.23252875985672,0.0,0.0,0.0,5.316788604006331,65.8562257151223,0.0,0.0,86.33421287291377,4.794537184071822,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,29.1,54.16340966127502,70.65076289919413,0.0,17.448608886533208,0.0,5.316788604006331,21.143015948031568,0.0,0.0,0.0,0.0,195.19539850587682,0.0,11.175332223167045,0.9455979544595614,0.0,-51.19919135303121,0.0,-7.934452233403492,-0.8615925376030902,4.595574107201074,0.9285714285714286,32,1,3,0,0,0,1,0,0,0,0,0,1,1,18,0,10,0,0,0,0,0,7.8841926189917535,0,4.573000000000004,76.2631,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0.4688
PFOAB,C[N+](C)(CCCNC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC(=O)[O-],C[N+](C)(CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-],13.653080993206128,13.653080993206128,0.33015619969556664,-8.473609487394505,0.22861481414453216,15.228571428571428,556.2659999999998,541.1459999999998,556.08431564,208,0,0.45964729445484515,-0.5441154963354013,0.5441154963354013,0.45964729445484515,0.6857142857142857,1.0571428571428572,1.4285714285714286,19.43433364431746,9.90542059513717,2.935574543690976,-2.4061645642938387,2.6181661815209067,-2.7353283030986226,5.844216029225185,-0.884399903302056,2.6154938814893685,5.901473611883518,792.961340912027,28.690234444311987,17.16985268677614,17.16985268677614,15.044329304277964,8.681095487485136,8.681095487485136,7.743032172795107,7.743032172795107,4.395798915890156,4.395798915890156,2.35783676814977,2.35783676814977,-2.150000000000001,3389928.542328963,32.85,9.379049660070748,5.6535130428026665,184.96841696596582,19.70088404061348,6.544756405912575,0.0,0.0,5.907179729351506,41.711473526010934,4.794537184071822,0.0,65.8562257151223,0.0,0.0,0.0,12.965578028838586,26.6094056592188,85.0348583358013,11.876485017303356,0.0,5.316788604006331,0.0,48.13229514893695,33.729613183092106,0.0,0.0,0.0,10.423315998847038,65.8562257151223,0.0,0.0,91.80060258410101,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,69.23,77.58132383576009,80.55182747810667,0.0,6.544756405912575,0.0,5.316788604006331,14.09534396535438,0.0,0.0,0.0,0.0,195.41810130785345,0.0,21.73515147185361,11.322031773356926,0.0,-53.38903199536462,0.0,-8.259647162069403,-2.1597659115417915,2.4164938492451604,0.8666666666666667,35,1,5,0,0,0,1,0,0,0,0,0,3,1,20,0,12,0,0,0,0,0,8.802908038094975,0,2.6931000000000003,80.2131,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0.4286
AmPr-FHxSA,CN(C)CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.525523904006047,13.525523904006047,0.05900769542206219,-8.151878661186696,0.3814622579699652,15.862068965517242,484.27799999999985,471.17399999999986,484.04901551600005,176,0,0.45964730332332737,-0.30935055342342277,0.45964730332332737,0.30935055342342277,0.6896551724137931,1.0689655172413792,1.4137931034482758,32.23361822446801,9.979608379139579,2.9202839169465156,-2.3878144982659686,2.6036181020470597,-2.713412692776884,7.901639278806641,-0.43307044088985136,2.4880816314122263,6.102110100449667,672.7380051483264,23.905777393935814,14.206816959571139,15.023313540498865,12.416502219436389,7.0125590459671985,8.495722293561593,5.8667111481726435,7.674990703310127,3.3162618647074664,4.831799664794588,1.6163248877335517,2.6763558366614233,-1.0400000000000005,271516.884191122,27.959999999999997,7.898978200488175,4.51979911959824,154.61110415606313,4.899909730850478,0.0,0.0,0.0,10.023291153407584,35.12097634173714,0.0,13.139891848781026,57.07539561977267,0.0,0.0,27.060921994192963,6.544756405912575,0.0,65.49319260410161,10.023291153407584,0.0,9.622004595302567,0.0,41.541797964663154,27.18485677717953,0.0,0.0,0.0,4.722094864452088,57.07539561977267,0.0,0.0,75.62353983409608,10.023291153407584,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,49.410000000000004,51.689023901057304,65.49319260410161,0.0,12.965578028838586,4.722094864452088,0.0,18.99525369620486,0.0,0.0,0.0,0.0,190.64179863854002,0.0,1.3283434167039625,-7.201661706349206,0.0,-32.09325262194716,0.0,-7.943275105260516,-1.1633147863139743,-4.1519711687064635,1.0,29,1,4,0,0,0,0,0,0,0,0,0,3,1,18,0,10,0,0,0,0,0,7.61570449950515,0,3.5538000000000025,70.8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0.4483
TAmPr-FHxSA,C[N+](C)(C)CCC[N-]S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[N+](C)(C)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.57616047808012,13.57616047808012,0.020813250977617992,-8.173205821680524,0.253505030363073,16.133333333333333,498.30499999999984,483.18499999999983,498.06466558000005,182,0,0.4596473031940563,-0.5433809951109229,0.5433809951109229,0.4596473031940563,0.6666666666666666,1.0333333333333334,1.3666666666666667,32.23361830555254,9.979608306859593,2.913298158011351,-2.406517891641211,2.608438179688735,-2.7053957546375376,7.945684914357976,-0.8698923406491139,2.4814319516275924,6.061540757201584,710.6118566977856,24.82842712474619,15.154030555071097,15.970527135998823,12.707106781186548,7.400897057493844,8.840960386294489,7.007364332650435,8.728426747210026,3.476837325504036,4.903638076260771,1.7279529182464008,2.711704688954242,-1.0400000000000005,345797.46818711155,28.96,7.825608264800909,4.732672429493861,161.18601775705505,9.205125722146711,10.023291153407584,0.0,0.0,0.0,35.12097634173714,0.0,8.417796984328938,57.07539561977267,6.544756405912575,0.0,6.4208216229260096,0.0,27.687772353944144,69.97622346179624,10.023291153407584,0.0,0.0,0.0,41.541797964663154,34.23252875985672,4.722094864452088,0.0,0.0,0.0,57.07539561977267,0.0,0.0,82.2543329436174,10.023291153407584,0.0,6.4208216229260096,0.0,0.0,4.722094864452088,0.0,48.24,58.10984552398331,65.49319260410161,0.0,11.027787263607198,0.0,0.0,21.143015948031568,0.0,4.722094864452088,0.0,0.0,192.63347356027583,0.0,0.0,-7.258731930272109,0.0,-32.173643961257596,0.0,-7.98330325286078,-1.2388703418695297,-2.5622574073491897,1.0,30,0,4,0,0,0,0,0,0,0,0,0,2,0,18,0,10,0,0,0,0,0,7.554320511621144,0,4.4825000000000035,75.4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0.4333
4:2 FTOH,C(CO)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.337847222222223,12.337847222222223,1.6562230725623586,-6.876319444444444,0.7739340511696629,15.375,264.08699999999993,259.04699999999997,264.01966876000006,98,0,0.45964136814751333,-0.3961404208129628,0.45964136814751333,0.3961404208129628,0.6875,1.0625,1.3125,19.4328013425049,10.01522526163038,2.8074915917955843,-2.328203313899056,2.5330055545955683,-2.6052653061247026,4.995404336753616,-0.39669740024463324,2.0052437236705822,5.3442942033910805,242.8739903217021,13.414213562373096,7.263107414956095,7.263107414956095,6.810660171779821,3.6206212851516324,3.6206212851516324,2.824600700810457,2.824600700810457,1.6355146361195152,1.6355146361195152,0.7051030538517309,0.7051030538517309,-0.6700000000000002,1026.684786519338,15.33,3.96858886620806,2.202984705333322,82.84801397834472,5.106527394840706,0.0,0.0,0.0,0.0,23.943886021727202,0.0,0.0,39.513735429073385,0.0,0.0,0.0,13.027703587438928,0.0,44.62026282391409,0.0,0.0,0.0,0.0,30.364707644653215,6.606881964512918,0.0,0.0,0.0,0.0,39.513735429073385,0.0,0.0,35.65729538108083,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,20.23,36.97158960916614,39.513735429073385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,107.94105017006802,0.0,0.0,7.894264455782313,0.0,-19.166249999999998,0.0,-9.012841553287982,-1.6562230725623586,0.0,1.0,16,1,1,0,0,0,0,0,0,0,0,0,1,1,10,0,4,0,0,0,0,0,3.8024042074355973,0,2.837,32.5988,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0.5625
6:2 FTOH,C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.788680555555555,12.788680555555555,1.958427461262282,-7.888258219954647,0.7038730950118953,16.09090909090909,364.1009999999999,359.06099999999986,364.01328164000006,134,0,0.45964729418725697,-0.39614042090829654,0.45964729418725697,0.39614042090829654,0.5,0.8181818181818182,1.0909090909090908,19.433867650255912,9.926113239969105,2.90028631198597,-2.3916427331845407,2.6004260819690006,-2.696487941511512,5.095460486868013,-0.439886289588931,2.2562188261725384,6.112592581333274,395.3344952915719,18.414213562373096,9.774965306993002,9.774965306993002,9.310660171779821,4.876550231170087,4.876550231170087,3.973386789686054,3.973386789686054,2.424193394843026,2.424193394843026,1.099442433213487,1.099442433213487,-0.9500000000000004,12600.982144173628,21.049999999999997,5.300635152190662,2.6882063862110344,112.24003981884287,5.106527394840706,0.0,0.0,0.0,0.0,35.78894435791636,0.0,0.0,57.07539561977267,0.0,0.0,0.0,13.027703587438928,0.0,62.181923014613375,0.0,0.0,0.0,0.0,42.20976598084237,6.606881964512918,0.0,0.0,0.0,0.0,57.07539561977267,0.0,0.0,47.50235371726998,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,20.23,48.81664794535529,57.07539561977267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,161.38110914273116,0.0,0.0,7.948992465041572,0.0,-36.87716376133787,0.0,-9.994510385172589,-1.958427461262282,0.0,1.0,22,1,1,0,0,0,0,0,0,0,0,0,1,1,14,0,6,0,0,0,0,0,5.07174408880061,0,4.107600000000001,42.4928,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0.5909
8:2 FTOH,C(CO)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.107876984126985,13.107876984126985,2.1637511527223374,-8.62376523526077,0.4790159831256695,16.5,464.11499999999984,459.0749999999998,464.00689452000006,170,0,0.45964729443994234,-0.39614042090829676,0.45964729443994234,0.39614042090829676,0.39285714285714285,0.6428571428571429,0.8928571428571429,19.434749475223914,9.881588713260728,2.9460597953626935,-2.4232304762909966,2.6360923573724393,-2.7400964812779245,5.145068591389359,-0.46148857416764316,2.4405760093190816,6.634861549962136,558.775632540629,23.414213562373096,12.286823199029909,12.286823199029909,11.810660171779821,6.13247917718854,6.13247917718854,5.122172878561648,5.122172878561648,3.212872153566536,3.212872153566536,1.4937818125752413,1.4937818125752413,-1.2300000000000006,148687.2122157464,26.77,6.647539407080787,3.2354052533410314,141.632065659341,5.106527394840706,0.0,0.0,0.0,0.0,47.63400269410551,0.0,0.0,74.63705581047195,0.0,0.0,0.0,13.027703587438928,0.0,79.74358320531266,0.0,0.0,0.0,0.0,54.054824317031525,6.606881964512918,0.0,0.0,0.0,0.0,74.63705581047195,0.0,0.0,59.34741205345914,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,20.23,60.66170628154445,74.63705581047195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,216.1536013320043,0.0,0.0,7.981024145482344,0.0,-56.37462876354246,0.0,-10.596245561221888,-2.1637511527223374,0.0,1.0,28,1,1,0,0,0,0,0,0,0,0,0,1,1,18,0,8,0,0,0,0,0,6.355522497412595,0,5.378200000000001,52.38679999999998,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0.6071
