test_pfas,n_train,n_test,r2,rmse,mae,rpd,y_true_mean,y_pred_mean
10:2 FTOH,1224,3,-0.943,0.9913,0.8773,0.92,2.944,2.216
10:2 FtSaB,1225,2,-1.8351,0.3466,0.2594,2.65,2.174,1.915
4:2 FTOH,1226,1,nan,0.0933,0.0933,9.84,-0.154,-0.248
4:2 FTS,1217,10,0.856,0.0926,0.0719,9.87,-0.623,-0.558
6:2 FTOH,1224,3,-2.6411,0.7347,0.6932,1.25,0.768,0.074
6:2 FTS,1200,27,0.4958,0.4609,0.3933,2.0,0.305,0.467
6:2 FtSaB,1205,22,0.278,0.7775,0.6584,1.18,0.763,1.184
8:2 Cl-PFAES,1212,15,-2.07,1.078,1.0038,0.85,1.936,1.001
8:2 FTOH,1222,5,-5.4889,1.2235,1.1771,0.75,2.049,0.872
8:2 FTS,1201,26,-0.976,0.6656,0.5679,1.39,1.196,1.763
8:2 FtSaB,1222,5,-2.1829,0.6565,0.527,1.4,2.046,1.617
ADONA,1217,10,-4.2265,0.5203,0.4984,1.75,-0.625,-0.127
AmPr-FHxSA,1217,10,0.6987,0.3807,0.3278,2.42,1.043,1.021
EtFOSA,1224,3,-2.5953,0.8762,0.7708,1.04,3.08,2.309
FBSA,1217,10,0.2953,0.1256,0.1035,7.27,-0.606,-0.518
FHxSA,1217,10,0.1934,0.2816,0.2264,3.26,-0.001,-0.021
GenX,1218,9,-2.2465,0.4139,0.4012,2.21,-0.619,-0.218
N-EtFOSAA,1222,5,0.9626,0.1461,0.1352,6.28,1.588,1.453
N-MeFOSAA,1222,5,0.9875,0.0797,0.0782,11.52,1.464,1.543
PFBA,1203,24,0.3707,0.3082,0.2363,2.96,-0.362,-0.174
PFBS,1183,44,0.6966,0.3282,0.2408,2.77,-0.219,-0.169
PFDA,1178,49,0.3471,0.3848,0.3074,2.41,1.277,1.465
PFDPA,1220,7,-1.322,0.6267,0.498,1.47,1.446,1.779
PFDS,1211,16,0.5136,0.3591,0.2924,2.55,1.75,1.523
PFDoA,1203,24,-0.1615,0.5721,0.4519,1.54,2.755,2.664
PFEtCHxS,1217,10,-8.1628,0.7828,0.7499,1.18,0.154,0.904
PFHpA,1203,24,0.7484,0.3275,0.2542,2.8,0.005,0.011
PFHpS,1215,12,-0.8996,0.4966,0.4564,1.86,0.379,-0.077
PFHxA,1201,26,0.9076,0.1724,0.1211,5.3,-0.201,-0.191
PFHxPA,1220,7,0.0216,0.5857,0.5534,1.57,0.224,0.551
PFHxS,1142,85,0.6084,0.3928,0.3173,2.35,0.19,0.028
PFNA,1194,33,0.527,0.4405,0.3804,2.1,0.793,0.475
PFNS,1215,12,0.5788,0.23,0.1707,4.0,1.219,1.353
PFOA,989,238,0.0917,0.5016,0.3959,1.95,0.501,0.338
PFOAAmS,1216,11,-1.2202,0.6994,0.5995,1.31,1.571,0.979
PFOAB,1216,11,-1.3987,0.7089,0.6481,1.3,0.556,1.202
PFOPA,1220,7,-0.5826,0.5287,0.4983,1.74,1.18,1.64
PFOS,953,274,0.3558,0.3858,0.3113,2.49,1.29,1.343
PFOSA,1202,25,-0.2927,0.7677,0.6705,1.19,1.527,0.858
PFOSB,1222,5,0.0076,0.8437,0.7327,1.09,0.935,1.43
PFPeA,1202,25,0.7156,0.2032,0.1512,4.47,-0.488,-0.528
PFPeS,1215,12,0.1268,0.2365,0.183,3.87,-0.463,-0.641
PFTeA,1225,2,-0.0455,0.5322,0.5096,1.72,3.044,2.535
PFTrA,1224,3,0.932,0.1634,0.1384,5.57,3.186,3.15
PFUnA,1197,30,0.5907,0.2988,0.2407,3.06,1.704,1.539
TAmPr-FHxSA,1217,10,0.4971,0.5162,0.4043,1.78,1.153,0.807
TFA,1207,20,0.0217,0.5433,0.4214,1.69,-0.027,-0.396
