test_pfas,n_train,n_test,r2,rmse,mae,rpd,y_true_mean,y_pred_mean
10:2 FTOH,1224,3,-0.5385,0.8821,0.7775,1.03,2.944,2.3
10:2 FtSaB,1225,2,-0.4128,0.2447,0.2446,3.75,2.174,2.169
4:2 FTOH,1226,1,nan,0.0362,0.0362,25.36,-0.154,-0.118
4:2 FTS,1217,10,0.9286,0.0652,0.0552,14.01,-0.623,-0.571
6:2 FTOH,1224,3,-1.4269,0.5998,0.5863,1.53,0.768,0.181
6:2 FTS,1200,27,0.5841,0.4186,0.3548,2.2,0.305,0.525
6:2 FtSaB,1205,22,0.5374,0.6223,0.4742,1.48,0.763,1.09
8:2 Cl-PFAES,1212,15,-2.1431,1.0908,1.006,0.84,1.936,1.0
8:2 FTOH,1222,5,-3.8498,1.0577,0.9927,0.87,2.049,1.056
8:2 FTS,1201,26,-1.4465,0.7406,0.6549,1.25,1.196,1.845
8:2 FtSaB,1222,5,-1.2298,0.5495,0.4816,1.67,2.046,1.773
ADONA,1217,10,-3.0514,0.4581,0.4405,1.99,-0.625,-0.185
AmPr-FHxSA,1217,10,0.83,0.2859,0.2337,3.22,1.043,1.014
EtFOSA,1224,3,-2.8649,0.9085,0.8086,1.0,3.08,2.271
FBSA,1217,10,0.4826,0.1076,0.093,8.49,-0.606,-0.564
FHxSA,1217,10,-0.1815,0.3408,0.2786,2.7,-0.001,-0.207
GenX,1218,9,-0.3717,0.269,0.2557,3.4,-0.619,-0.364
N-EtFOSAA,1222,5,0.9413,0.183,0.1713,5.01,1.588,1.417
N-MeFOSAA,1222,5,0.9862,0.0837,0.0727,10.97,1.464,1.537
PFBA,1203,24,0.3886,0.3037,0.2349,3.0,-0.362,-0.226
PFBS,1183,44,0.6949,0.3291,0.24,2.76,-0.219,-0.192
PFDA,1178,49,0.2791,0.4043,0.3216,2.29,1.277,1.479
PFDPA,1220,7,-2.7807,0.7997,0.716,1.15,1.446,2.074
PFDS,1211,16,0.5633,0.3403,0.2893,2.69,1.75,1.516
PFDoA,1203,24,-0.1758,0.5756,0.4381,1.53,2.755,2.732
PFEtCHxS,1217,10,-5.9943,0.6839,0.6414,1.35,0.154,0.795
PFHpA,1203,24,0.8176,0.2788,0.2126,3.29,0.005,0.073
PFHpS,1215,12,-0.2437,0.4018,0.3225,2.29,0.379,0.057
PFHxA,1201,26,0.8836,0.1935,0.1362,4.72,-0.201,-0.207
PFHxPA,1220,7,-0.0707,0.6127,0.5798,1.5,0.224,0.621
PFHxS,1142,85,0.6293,0.3822,0.3099,2.41,0.19,0.056
PFNA,1194,33,0.5681,0.4209,0.3518,2.2,0.793,0.527
PFNS,1215,12,0.4564,0.2613,0.2087,3.53,1.219,1.414
PFOA,989,238,0.117,0.4946,0.3931,1.98,0.501,0.316
PFOAAmS,1216,11,-1.4681,0.7374,0.6577,1.25,1.571,0.954
PFOAB,1216,11,-0.88,0.6276,0.5602,1.47,0.556,1.116
PFOPA,1220,7,-0.8768,0.5758,0.5355,1.6,1.18,1.645
PFOS,953,274,0.3414,0.3901,0.3174,2.46,1.29,1.31
PFOSA,1202,25,-0.1855,0.7352,0.6255,1.25,1.527,0.916
PFOSB,1222,5,-0.1407,0.9046,0.7822,1.02,0.935,1.497
PFPeA,1202,25,0.7072,0.2062,0.165,4.4,-0.488,-0.524
PFPeS,1215,12,0.2286,0.2223,0.1159,4.11,-0.463,-0.568
PFTeA,1225,2,0.545,0.3511,0.319,2.6,3.044,2.725
PFTrA,1224,3,0.931,0.1646,0.1162,5.53,3.186,3.086
PFUnA,1197,30,0.5973,0.2964,0.2434,3.09,1.704,1.554
TAmPr-FHxSA,1217,10,0.7542,0.3609,0.2832,2.55,1.153,0.938
TFA,1207,20,0.3105,0.4561,0.3615,2.01,-0.027,-0.234
