test_pfas,n_train,n_test,r2,rmse
10:2 FTOH,1224,3,-2.6405,1.3569
10:2 FtSaB,1225,2,-5.1425,0.5102
4:2 FTOH,1226,1,nan,0.0009
4:2 FTS,1217,10,0.4475,0.1813
6:2 FTOH,1224,3,-5.1699,0.9564
6:2 FTS,1200,27,0.6381,0.3905
6:2 FtSaB,1205,22,0.5338,0.6247
8:2 Cl-PFAES,1212,15,-3.0347,1.2358
8:2 FTOH,1222,5,-6.5153,1.3167
8:2 FTS,1201,26,-1.1925,0.7011
8:2 FtSaB,1222,5,-1.5441,0.5869
ADONA,1217,10,-0.1699,0.2461
AmPr-FHxSA,1217,10,-0.0197,0.7003
EtFOSA,1224,3,-1.3244,0.7046
FBSA,1217,10,0.3651,0.1192
FHxSA,1217,10,-0.3512,0.3645
GenX,1218,9,-1.0406,0.3281
N-EtFOSAA,1222,5,0.4871,0.5408
N-MeFOSAA,1222,5,0.9471,0.1637
PFBA,1203,24,0.2934,0.3265
PFBS,1183,44,0.716,0.3175
PFDA,1178,49,0.338,0.3874
PFDPA,1220,7,-4.2579,0.943
PFDS,1211,16,0.0084,0.5128
PFDoA,1203,24,-0.0487,0.5436
PFEtCHxS,1217,10,-10.9006,0.8921
PFHpA,1203,24,0.7196,0.3457
PFHpS,1215,12,-0.0047,0.3611
PFHxA,1201,26,0.8933,0.1852
PFHxPA,1220,7,0.0982,0.5623
PFHxS,1142,85,0.3783,0.495
PFNA,1194,33,0.7482,0.3214
PFNS,1215,12,-0.5281,0.4381
PFOA,989,238,0.0773,0.5056
PFOAAmS,1216,11,-1.4035,0.7277
PFOAB,1216,11,-3.1386,0.9312
PFOPA,1220,7,-2.1852,0.7501
PFOS,953,274,0.1939,0.4315
PFOSA,1202,25,-0.6797,0.8751
PFOSB,1222,5,0.025,0.8363
PFPeA,1202,25,0.5503,0.2555
PFPeS,1215,12,0.3077,0.2106
PFTeA,1225,2,-1.3611,0.7997
PFTrA,1224,3,0.7969,0.2824
PFUnA,1197,30,0.4552,0.3447
TAmPr-FHxSA,1217,10,0.0787,0.6987
TFA,1207,20,0.0839,0.5258
