feature,mean_abs_shap
MolWt,0.449921
Corg_%,0.165319
pH,0.060379
CEC,0.057946
BCUT2D_CHGLO,0.051027
MinEStateIndex,0.043528
foc,0.043196
BCUT2D_LOGPLOW,0.037881
Fe_g_kg,0.03747
FpDensityMorgan1,0.036002
Silt,0.035296
NumValenceElectrons,0.034344
Clay,0.02527
VSA_EState1,0.024511
Sand,0.021005
Al_g_kg,0.020201
NumHeteroatoms,0.016027
FractionCSP3,0.015204
ExactMolWt,0.012825
MaxAbsEStateIndex,0.011781
SMR_VSA5,0.011221
MolLogP,0.00991
BCUT2D_MRLOW,0.008579
BCUT2D_MWLOW,0.00819
SMR_VSA1,0.007559
BCUT2D_LOGPHI,0.00716
TPSA,0.006767
SPS,0.006582
AvgIpc,0.006207
MinAbsEStateIndex,0.005351
