source,xie_cited,train_rows,strict_in_xie,pct_strict
Nguyen (2020),yes,288,0,0.0
Oliver (2020),yes,134,n/a (not in top 10),n/a
Umeh (2021),yes,111,9,8.1
Knight (2019),yes,100,99,99.0
Campos Pereira (2023),no,59,3,5.1
Fabregat-Palau (2021),yes,56,43,76.8
Mejia-Avendaño (2021),yes,45,2,4.4
Higgins and Luthy (2007),no,32,n/a (not in top 10),n/a
Guelfo (2013),no,30,0,0.0
Li (2019),no,30,n/a (not in top 10),n/a
McLachlan (2019),no,28,1,3.6
Cai (2022),yes,27,n/a (not in top 10),n/a
Campos-Pereira (2022),yes,27,n/a (not in top 10),n/a
Brazen-Hanson (2017),no,25,0,0.0
Lee and Mabury (2017),no,21,n/a (not in top 10),n/a
Richey (1997),no,20,0,0.0
Milinovic (2015),yes,18,12,66.7
XIao (2019),no,15,0,0.0
Chun You (2010),no,15,n/a (not in top 10),n/a
Enevoldsen (2010),no,12,n/a (not in top 10),n/a
Campos-Pereira (2018),no,10,n/a (not in top 10),n/a
Miao (2017),no,10,n/a (not in top 10),n/a
Gredelj (2020),no,9,n/a (not in top 10),n/a
YanYin Chen (2013),no,9,n/a (not in top 10),n/a
Chao Yin (2022),no,8,n/a (not in top 10),n/a
Yanju Liu (2020),no,8,n/a (not in top 10),n/a
Jinxia Liu (2007),no,7,0,0.0
Lutz Ahrens (2011),no,7,n/a (not in top 10),n/a
Aly (2019),no,6,n/a (not in top 10),n/a
Jeon (2011),no,6,n/a (not in top 10),n/a
ChengLiang Li (2012),no,6,n/a (not in top 10),n/a
Wang (2022),yes,6,n/a (not in top 10),n/a
Changlong Wei (2017),no,6,n/a (not in top 10),n/a
Yue Zhi (2018),no,5,0,0.0
Jinxia Liu (2005),no,5,0,0.0
Huiting Chen (2016),no,5,n/a (not in top 10),n/a
Hong Chen (2012),no,5,n/a (not in top 10),n/a
Chanlong Wei (2019),no,5,n/a (not in top 10),n/a
Higgins and Luthy (2006),yes,2,n/a (not in top 10),n/a
Mark L. Brusseau (2019),no,2,n/a (not in top 10),n/a
Lei Xiang (2018),no,1,n/a (not in top 10),n/a
Jhonson (2007),no,1,n/a (not in top 10),n/a
Kwadijk (2013),no,1,n/a (not in top 10),n/a
Gang Pan (2009),no,1,n/a (not in top 10),n/a
Hong Chen (2009),no,1,n/a (not in top 10),n/a
Xiao-Ting Chen (2020),no,1,n/a (not in top 10),n/a
Jin Qian (2017),no,1,n/a (not in top 10),n/a
