lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_kg,log10_Kd_L_per_kg
12X,N1,7.1,,PFHxA,1.1739614158267,103.33,1.361283,3.1339
12X,N1,7.1,,PFHpA,0.3465545704369773,23.98,4.451817,3.6485
12X,N1,7.1,,PFOA,0.8847149117915456,21.78,30.620519,4.486
12X,N1,7.1,,PFHxS,0.3784502021212091,1.74,207.500116,5.317
12X,N1,7.1,,PFNA,9.296117269503682,330.37,18.138503,4.2586
12X,N1,7.1,,PFDA,0.8780594501011865,6,136.343242,5.1346
12X,N1,7.1,,PFOS,1.1488488204896772,0.39,2935.766206,6.4677
12X,N1,7.1,,PFUnDA,8.156659083358354,12.61,636.84053,5.804
17X,N2,6.9,,PFNA,1.0725222957957583,18.59,47.693507,4.6785
19X,N3,6.3,,PFHxA,0.6623606073231774,10.7,51.90286,4.7152
19X,N3,6.3,,PFHpA,0.19559283812480455,1.86,95.15744,4.9784
19X,N3,6.3,,PFHxS,0.37136715414299093,0.51,718.17089,5.8562
19X,N3,6.3,,PFNA,2.434142780924705,31.54,67.176372,4.8272
19X,N3,6.3,,PFOS,2.862251658371159,2.11,1346.517374,6.1292
21X,N4,7.1,,PFHxA,0.3849023065634818,28.9,3.318419,3.5209
21X,N4,7.1,,PFOA,1.1556289989190662,57.11,10.235143,4.0101
21X,N4,7.1,,PFHxS,0.35003566583658635,0.65,528.516409,5.7231
21X,N4,7.1,,PFNA,2.181783120210841,123.94,7.603543,3.881
21X,N4,7.1,,PFDA,3.7606520247676407,71.74,42.420575,4.6276
21X,N4,7.1,,PFOS,1.1228852229235682,6.01,176.836144,5.2476
21X,N4,7.1,,PFUnDA,0.9169567272519501,2.95,300.832789,5.4783
22X,N5,5.8,,PFNA,0.3455234655611132,2.41,133.370733,5.1251
24X,N6,7.3,,PFHxA,0.37932893385537747,0.83,447.022812,5.6503
24X,N6,7.3,,PFHpA,0.21347608110258365,7.46,18.616097,4.2699
24X,N6,7.3,,PFOA,0.33477099687076106,0.47,702.278717,5.8465
24X,N6,7.3,,PFNA,0.4407829331375197,4.8,81.829778,4.9129
25X,N7,6.1,,PFPeA,0.05996554936941066,5.35049140140991,1.207484,3.0819
25X,N7,6.1,,PFHxS,0.3420147092768475,0.47281747759917403,713.354625,5.8533
25X,N7,6.1,,PFNA,0.2395866619596025,2.98,70.398209,4.8476
3X,N8,6.9,,PFHxA,0.84215891458435,42.67,9.736558,3.9884
3X,N8,6.9,,PFHpA,0.2551250871890182,20.08,2.705433,3.4322
3X,N8,6.9,,PFOA,0.7294122225712604,5.17,131.085536,5.1176
3X,N8,6.9,,PFNA,1.7019665551266183,26.35,54.590761,4.7371
9X,N9,6.4,,PFHpA,0.07688951026947802,1.35,46.955193,4.6717
9X,N9,6.4,,PFNA,0.28112078763147663,3.71,65.773797,4.8181
31X,N10,6.9,1.7641631789055254,PFPrA,1.7641631789055254,5.33547883393749,320.647583,5.506
31X,N10,6.9,1.7641631789055254,PFHxA,0.5914736037697976,6.525491745328864,80.640465,4.9066
31X,N10,6.9,1.7641631789055254,PFHpA,0.2657898505784393,3.312005006934301,70.250437,4.8466
31X,N10,6.9,1.7641631789055254,PFNA,0.9476579132682033,7.1008070725088706,123.457775,5.0915
35X,N11,7,,PFBA,4.654065993947418,17.075400907328095,262.559691,5.4192
35X,N11,7,,PFPeA,0.23119925355092397,5.3827623232966975,32.951786,4.5179
55X,N12,7,,PFPeA,0.09846930616325071,3.2902619052716933,19.927498,4.2995
55X,N12,7,,PFHxS,0.4452808177719224,0.6439482636916054,681.485392,5.8335
42X,N13,7,,PFHxA,0.3380141524606227,4.342592488976546,67.83695,4.8315
42X,N13,7,,PFHpA,0.11751661018468182,0.8946106333877029,121.360623,5.0841
42X,N13,7,,PFNA,0.4696526985266637,0.7125199253684098,649.143249,5.8123
10X,N14,7.3,,PFHxA,0.6331962851995038,1.12,555.353826,5.7446
10X,N14,7.3,,PFHpA,0.3121353999950529,3.35,83.174746,4.92
10X,N14,7.3,,PFOA,0.9905908345981453,4.84,194.667528,5.2893
10X,N14,7.3,,PFNA,1.0172015544683188,13.23,66.885983,4.8253
10X,N14,7.3,,PFOS,4.388924966127668,40.91,97.282448,4.988
11X,N15,7.2,,PFHxS,0.36151182950620453,0.49,727.779244,5.862
13X,N16,6.3,,PFHxS,0.36117089023636817,1.13,309.620257,5.4908
13X,N16,6.3,,PFNA,1.0214382666522046,2.57,387.446796,5.5882
16X,N17,6.6,,PFNA,0.9153223751095279,1.58,569.317959,5.7554
18X,N18,7.1,,PFHxA,0.5601129033076273,10.11,45.40187,4.6571
18X,N18,7.1,,PFHpA,0.2262214940026,2.03,101.43916,5.0062
18X,N18,7.1,,PFNA,1.4641456840234865,8.37,164.9278,5.2173
20X,N19,7.3,,PFHxA,0.4308427646451136,26.39,6.325986,3.8011
20X,N19,7.3,,PFOA,0.5456440050280125,19.8,17.557778,4.2445
20X,N19,7.3,,PFHxS,0.3705780981416228,1.27,281.793778,5.4499
20X,N19,7.3,,PFNA,0.29703459975765456,8.72,24.063601,4.3814
23X,N20,5.1,,PFHxA,0.4108004661549667,3.29,114.863364,5.0602
23X,N20,5.1,,PFNA,3.71432079970646,38.03,87.668178,4.9428
4X,N21,4.9,,PFNA,1.4833705343680106,17.86,73.055461,4.8637
5X,N22,6.7,,PFPeA,0.29277013598895724,14.1,10.763839,4.032
5X,N22,6.7,,PFHxA,0.4260871549101747,26.04,6.362794,3.8036
5X,N22,6.7,,PFHpA,0.11056280840583681,7.7,4.358806,3.6394
5X,N22,6.7,,PFOA,0.24236030486795287,0.15,1605.735366,6.2057
5X,N22,6.7,,PFHxS,0.09030352896827877,5.54,6.300276,3.7994
5X,N22,6.7,,PFNA,0.9107180656367484,30.4,19.957831,4.3001
5X,N22,6.7,,PFOS,0.6131244525938937,1.79,332.527627,5.5218
7X,N23,7.3,,PFPeA,0.13646888415665176,3.1,34.022221,4.5318
7X,N23,7.3,,PFHxA,0.37746745433747597,11.52,22.766272,4.3573
7X,N23,7.3,,PFHpA,0.2245812703306096,9.45,13.765214,4.1388
7X,N23,7.3,,PFOA,0.4417473620574619,5.22,74.625931,4.8729
7X,N23,7.3,,PFNA,0.6540664864899545,16.14,30.524565,4.4846
8X,N24,6.6,,PFHpA,0.6916960051719075,1,681.696005,5.8336
32X,N25,6.9,,PFHxA,0.8366376439684537,6.421840511958875,120.280041,5.0802
32X,N25,6.9,,PFHpA,0.5334888809285501,2.2000223350039683,232.492484,5.3664
