lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_g,log_Kd_L_per_kg,excel_row
12X,N1,4.01,7.1,PFHxA,1.1739614158267,103.33,0.0013612834203687205,0.13394855509885406,11
12X,N1,4.01,7.1,PFHpA,0.3465545704369773,23.98,0.0044518169489982185,0.6485372985929562,11
12X,N1,4.01,7.1,PFOA,0.8847149117915456,21.78,0.03062051936600301,1.4860125526547405,11
12X,N1,4.01,7.1,PFHxS,0.3784502021212091,1.74,0.20750011616161443,2.3170183441726127,11
12X,N1,4.01,7.1,PFNA,9.296117269503682,330.37,0.018138503101079645,1.258601443596997,11
12X,N1,4.01,7.1,PFDA,0.8780594501011865,6.0,0.13634324168353107,2.1346336155281636,11
12X,N1,4.01,7.1,PFOS,1.1488488204896772,0.39,2.9357662063837875,3.467721467006885,11
12X,N1,4.01,7.1,PFUnDA,8.156659083358354,12.61,0.6368405300046277,2.8040306951147174,11
17X,N2,2.65,6.9,PFNA,1.0725222957957583,18.59,0.04769350703581272,1.6784592584854827,12
19X,N3,4.03,6.3,PFHxA,0.6623606073231774,10.7,0.051902860497493215,1.7151912935718312,13
19X,N3,4.03,6.3,PFHpA,0.19559283812480455,1.86,0.09515743985204544,1.978442749116739,13
19X,N3,4.03,6.3,PFHxS,0.37136715414299093,0.51,0.7181708904764528,2.8562277979473163,13
19X,N3,4.03,6.3,PFNA,2.434142780924705,31.54,0.06717637225506358,1.827216546809185,13
19X,N3,4.03,6.3,PFOS,2.862251658371159,2.11,1.3465173736356204,3.129211961331193,13
21X,N4,3.48,7.1,PFHxA,0.3849023065634818,28.9,0.0033184189122312047,0.5209312098337805,14
21X,N4,3.48,7.1,PFOA,1.1556289989190662,57.11,0.010235142688129332,1.0100939015403172,14
21X,N4,3.48,7.1,PFHxS,0.35003566583658635,0.65,0.5285164089793636,2.7230584755007086,14
21X,N4,3.48,7.1,PFNA,2.181783120210841,123.94,0.007603543006380838,0.8810160066979774,14
21X,N4,3.48,7.1,PFDA,3.7606520247676407,71.74,0.042420574641310854,1.627576547298413,14
21X,N4,3.48,7.1,PFOS,1.1228852229235682,6.01,0.17683614358129254,2.24757103530177,14
21X,N4,3.48,7.1,PFUnDA,0.9169567272519501,2.95,0.30083278889896614,2.47832516989109,14
22X,N5,3.67,5.8,PFNA,0.3455234655611132,2.41,0.13337073259797227,2.1250605367339164,15
24X,N6,1.6,7.3,PFHxA,0.37932893385537747,0.83,0.4470228118739488,2.6503296860361676,16
24X,N6,1.6,7.3,PFHpA,0.21347608110258365,7.46,0.018616096662544726,1.2698886253227641,16
24X,N6,1.6,7.3,PFOA,0.33477099687076106,0.47,0.7022787167463002,2.8465095068903015,16
24X,N6,1.6,7.3,PFNA,0.4407829331375197,4.8,0.08182977773698327,1.9129113715630848,16
25X,N7,2.5,6.1,PFPeA,0.05996554936941066,5.35049140140991,0.001207484485183757,0.0818815592642374,17
25X,N7,2.5,6.1,PFHxS,0.3420147092768475,0.47281747759917403,0.7133546251578856,2.8533054814107146,17
25X,N7,2.5,6.1,PFNA,0.2395866619596025,2.98,0.070398208711276,1.8475616086207243,17
3X,N8,4.37,6.9,PFHxA,0.84215891458435,42.67,0.00973655764200492,0.9884054392883878,18
3X,N8,4.37,6.9,PFHpA,0.2551250871890182,20.08,0.0027054326289351715,0.43223672354082515,18
3X,N8,4.37,6.9,PFOA,0.7294122225712604,5.17,0.13108553628070801,2.1175547751377697,18
3X,N8,4.37,6.9,PFNA,1.7019665551266183,26.35,0.0545907611053745,1.737119149289659,18
9X,N9,3.98,6.4,PFHpA,0.07688951026947802,1.35,0.04695519279220594,1.671683628046099,19
9X,N9,3.98,6.4,PFNA,0.28112078763147663,3.71,0.06577379720524977,1.8180529149576785,19
31X,N10,3.41,6.9,PFPrA,1.7641631789055254,5.33547883393749,0.3206475826844587,2.5060279701825956,20
31X,N10,3.41,6.9,PFHxA,0.5914736037697976,6.525491745328864,0.08064046463520418,1.906553021431856,20
31X,N10,3.41,6.9,PFHpA,0.2657898505784393,3.312005006934301,0.07025043743048655,1.8466490328198941,20
31X,N10,3.41,6.9,PFNA,0.9476579132682033,7.1008070725088706,0.1234577750939197,2.091518446022147,20
35X,N11,10.84,7.0,PFBA,4.654065993947418,17.075400907328095,0.2625596909382124,2.4192280524966936,21
35X,N11,10.84,7.0,PFPeA,0.23119925355092397,5.3827623232966975,0.03295178565664867,1.517878953977571,21
55X,N12,6.08,7.0,PFPeA,0.09846930616325071,3.2902619052716933,0.01992749787045284,1.299452771391207,22
55X,N12,6.08,7.0,PFHxS,0.4452808177719224,0.6439482636916054,0.6814853923500487,2.833456551161508,22
42X,N13,3.18,7.0,PFHxA,0.3380141524606227,4.342592488976546,0.0678369495453821,1.8314663105724525,23
42X,N13,3.18,7.0,PFHpA,0.11751661018468182,0.8946106333877029,0.1213606230452136,2.0840777973798907,23
42X,N13,3.18,7.0,PFNA,0.4696526985266637,0.7125199253684098,0.6491432489187287,2.812340544797494,23
10X,N14,4.79,7.3,PFHxA,0.6331962851995038,1.12,0.5553538260709855,2.7445697682550834,24
10X,N14,4.79,7.3,PFHpA,0.3121353999950529,3.35,0.08317474626717998,1.9199914846844526,24
10X,N14,4.79,7.3,PFOA,0.9905908345981453,4.84,0.19466752780953417,2.2892935135679164,24
10X,N14,4.79,7.3,PFNA,1.0172015544683188,13.23,0.06688598295300974,1.8253351138218439,24
10X,N14,4.79,7.3,PFOS,4.388924966127668,40.91,0.09728244845093298,1.988034492596298,24
11X,N15,5.32,7.2,PFHxS,0.36151182950620453,0.49,0.7277792438902133,2.861999665440259,25
